time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080728:1000,34.14,52.75,368.75,191.34,221.15,468.05,3.59,86.0,95451.0
20080728:1100,33.48,54.5,245.25,223.29,110.55,462.05,3.24,95.0,95403.0
20080728:1200,33.03,55.8,145.25,170.11,76.55,453.85,2.41,104.0,95375.0
20080728:1300,32.77,56.3,27.85,35.32,21.25,455.45,2.28,100.0,95384.0
20080728:1400,32.0,59.1,0.0,0.0,0.0,449.25,2.21,104.0,95451.0
20080728:1500,31.1,62.5,0.0,0.0,0.0,445.25,2.55,101.0,95528.0
20080728:1600,30.5,65.1,0.0,0.0,0.0,444.25,3.17,100.0,95595.0
20080728:1700,29.82,68.35,0.0,0.0,0.0,443.05,3.52,108.0,95672.0
20080728:1800,29.07,72.25,0.0,0.0,0.0,436.85,3.24,108.0,95720.0
20080728:1900,28.5,72.35,0.0,0.0,0.0,436.45,1.24,147.0,95634.0
20080728:2000,28.2,74.0,0.0,0.0,0.0,431.05,1.86,82.0,95576.0
20080728:2100,28.01,75.25,0.0,0.0,0.0,425.65,2.07,101.0,95547.0
20080728:2200,27.76,77.2,0.0,0.0,0.0,424.65,1.79,108.0,95576.0
20080728:2300,27.5,79.25,0.0,0.0,0.0,425.25,1.66,116.0,95595.0
20080729:0000,27.27,80.95,0.0,0.0,0.0,427.25,1.52,115.0,95643.0
20080729:0100,27.15,82.2,82.6,278.96,54.15,429.25,1.66,114.0,95672.0
20080729:0200,27.07,84.25,232.15,304.54,134.05,429.25,1.79,118.0,95739.0
20080729:0300,28.31,77.8,431.95,491.51,171.4,428.65,2.55,120.0,95730.0
20080729:0400,30.15,69.85,619.75,612.53,183.8,435.45,2.9,120.0,95739.0
20080729:0500,31.69,63.65,750.2,658.59,187.35,445.85,2.62,111.0,95739.0
20080729:0600,32.92,58.75,847.85,672.71,209.4,452.25,2.55,102.0,95701.0
20080729:0700,34.52,52.75,819.75,598.42,228.15,459.05,2.55,84.0,95643.0
20080729:0800,35.27,49.05,805.75,641.02,183.6,469.25,2.83,75.0,95576.0
20080729:0900,35.93,46.15,635.05,480.78,204.2,470.25,3.03,74.0,95461.0
20080729:1000,36.19,44.3,512.95,478.88,144.0,470.45,3.24,68.0,95413.0
20080729:1100,36.44,42.8,345.1,355.97,130.8,471.05,3.24,68.0,95317.0
20080729:1200,35.63,44.45,125.65,125.89,75.0,463.65,3.03,91.0,95298.0
20080729:1300,31.07,65.8,8.25,0.0,8.25,468.65,4.14,138.0,95394.0
20080729:1400,27.99,82.05,0.0,0.0,0.0,458.05,3.17,139.0,95509.0
20080729:1500,27.82,83.3,0.0,0.0,0.0,439.25,1.45,139.0,95557.0
20080729:1600,27.79,83.0,0.0,0.0,0.0,431.45,1.31,129.0,95614.0
20080729:1700,27.73,82.9,0.0,0.0,0.0,430.25,1.1,134.0,95662.0
20080729:1800,27.57,83.6,0.0,0.0,0.0,429.05,0.97,138.0,95672.0
20080729:1900,27.93,82.0,0.0,0.0,0.0,435.45,0.97,176.0,95672.0
20080729:2000,27.66,83.45,0.0,0.0,0.0,430.45,1.03,201.0,95672.0
20080729:2100,27.44,84.65,0.0,0.0,0.0,429.65,1.17,248.0,95624.0
20080729:2200,27.28,85.25,0.0,0.0,0.0,434.25,1.17,271.0,95605.0
20080729:2300,26.62,88.3,0.0,0.0,0.0,436.45,0.97,292.0,95624.0
20080730:0000,26.35,91.1,0.0,0.0,0.0,442.65,0.69,348.0,95643.0
20080730:0100,26.14,94.2,52.35,54.36,46.9,446.25,1.45,43.0,95691.0
20080730:0200,26.29,91.45,187.3,226.37,114.7,442.45,1.86,75.0,95739.0
20080730:0300,27.42,82.5,361.55,319.11,192.75,433.05,3.1,89.0,95749.0
20080730:0400,29.26,72.05,572.75,474.73,235.3,442.45,4.21,95.0,95720.0
20080730:0500,31.6,61.0,636.75,454.8,248.4,444.45,4.97,99.0,95720.0
20080730:0600,33.13,54.2,822.25,585.38,267.05,454.85,4.76,98.0,95682.0
20080730:0700,34.6,52.35,837.2,586.99,257.25,457.05,2.69,114.0,95634.0
20080730:0800,35.51,49.95,800.8,551.77,265.65,465.45,2.69,115.0,95547.0
20080730:0900,35.74,49.4,580.9,410.52,213.35,471.65,2.69,110.0,95461.0
20080730:1000,34.89,52.55,341.0,196.19,190.05,475.45,2.62,110.0,95432.0
20080730:1100,32.32,63.6,208.55,116.69,138.45,471.25,2.0,126.0,95355.0
20080730:1200,31.86,66.95,115.55,91.83,78.75,457.45,1.86,174.0,95403.0
20080730:1300,31.39,69.05,24.3,20.75,20.5,454.65,1.79,187.0,95423.0
20080730:1400,30.5,74.0,0.0,0.0,0.0,443.45,1.79,170.0,95480.0
20080730:1500,29.54,77.5,0.0,0.0,0.0,439.05,1.59,175.0,95566.0
20080730:1600,29.03,79.45,0.0,0.0,0.0,440.45,2.48,199.0,95653.0
20080730:1700,28.36,81.25,0.0,0.0,0.0,440.25,3.31,213.0,95730.0
20080730:1800,27.69,83.05,0.0,0.0,0.0,437.45,2.83,227.0,95758.0
20080730:1900,28.65,78.6,0.0,0.0,0.0,442.85,3.59,223.0,95739.0
20080730:2000,28.24,80.7,0.0,0.0,0.0,439.05,3.24,233.0,95730.0
20080730:2100,27.9,82.3,0.0,0.0,0.0,440.45,3.03,236.0,95701.0
20080730:2200,27.54,83.9,0.0,0.0,0.0,439.05,2.97,226.0,95710.0
20080730:2300,27.13,85.7,0.0,0.0,0.0,432.05,2.83,211.0,95691.0
20080731:0000,26.8,87.05,0.0,0.0,0.0,430.25,3.17,204.0,95720.0
20080731:0100,26.73,87.05,56.5,83.22,48.3,440.85,3.59,208.0,95758.0
20080731:0200,26.99,85.45,186.85,168.96,132.9,440.65,3.86,217.0,95816.0
20080731:0300,27.8,80.9,240.75,124.95,174.8,443.45,4.62,226.0,95864.0
20080731:0400,28.64,75.85,309.9,88.46,247.1,448.25,4.76,228.0,95912.0
20080731:0500,29.84,70.15,420.85,135.32,305.4,460.05,4.07,227.0,95921.0
20080731:0600,30.77,67.0,522.2,189.12,342.95,461.65,3.79,228.0,95921.0
20080731:0700,32.03,61.5,655.05,383.55,276.35,465.85,3.79,223.0,95854.0
20080731:0800,32.65,59.25,546.4,324.61,231.8,457.85,3.72,214.0,95825.0
20080731:0900,32.84,57.9,379.7,214.88,187.5,459.85,3.52,216.0,95739.0
20080731:1000,32.69,57.85,335.75,161.97,211.3,464.05,3.38,226.0,95777.0
20080731:1100,32.62,57.7,141.75,22.27,128.4,461.85,3.03,235.0,95710.0
20080731:1200,31.08,64.55,58.45,0.25,58.35,456.05,2.55,230.0,95720.0
20080731:1300,30.5,67.65,12.95,0.28,12.9,458.65,2.07,224.0,95701.0
20080731:1400,30.02,69.95,0.0,0.0,0.0,451.05,2.41,219.0,95768.0
20080731:1500,29.66,71.25,0.0,0.0,0.0,446.45,2.55,224.0,95835.0
20080731:1600,27.96,76.28,0.0,0.0,0.0,437.72,2.62,224.0,95902.0
20080731:1700,27.99,76.7,0.0,0.0,0.0,438.22,2.58,224.0,95921.0
20080731:1800,28.02,77.11,0.0,0.0,0.0,438.72,2.55,222.0,95941.0
20080731:1900,28.06,77.52,0.0,0.0,0.0,439.22,2.51,224.0,95989.0
20080731:2000,28.09,77.94,0.0,0.0,0.0,439.72,2.48,228.0,95989.0
20080731:2100,28.12,78.35,0.0,0.0,0.0,440.22,2.44,227.0,95873.0
20080731:2200,28.15,78.77,0.0,0.0,0.0,440.71,2.41,226.0,95893.0
20080731:2300,28.18,79.18,0.0,0.0,0.0,441.21,2.37,232.0,95893.0
20200801:0000,28.21,79.59,0.0,0.0,0.0,441.71,2.34,220.0,96142.0
20200801:0100,28.25,80.01,42.55,35.12,39.15,442.21,2.31,225.0,96123.0
20200801:0200,28.28,80.42,93.65,0.0,93.65,442.71,2.27,224.0,96219.0
20200801:0300,28.31,80.84,183.15,49.46,157.1,443.21,2.24,229.0,96238.0
20200801:0400,28.34,81.25,376.35,196.47,237.05,443.71,2.2,242.0,96296.0
20200801:0500,28.37,81.66,524.35,272.52,292.05,444.2,2.17,238.0,96267.0
20200801:0600,28.4,82.08,775.1,538.95,264.65,444.7,2.13,238.0,96248.0
20200801:0700,28.44,82.49,696.75,437.07,265.5,445.2,2.1,227.0,96219.0
20200801:0800,33.54,57.35,713.55,480.84,247.9,461.85,2.62,225.0,96142.0
20200801:0900,34.11,56.4,541.9,341.11,237.1,465.05,2.76,229.0,96065.0
20200801:1000,33.91,56.8,410.45,311.99,171.1,464.45,2.48,232.0,96017.0
20200801:1100,33.8,56.25,314.65,268.76,153.95,458.25,2.55,237.0,95998.0
20200801:1200,33.05,58.3,115.75,84.81,82.05,454.25,2.34,240.0,95941.0
20200801:1300,32.51,59.8,21.2,13.4,18.8,453.65,2.55,229.0,95960.0
20200801:1400,31.73,62.9,0.0,0.0,0.0,459.25,2.41,223.0,96027.0
20200801:1500,30.84,66.55,0.0,0.0,0.0,447.65,2.41,225.0,96075.0
20200801:1600,30.08,70.05,0.0,0.0,0.0,440.05,2.9,230.0,96142.0
20200801:1700,29.53,73.25,0.0,0.0,0.0,441.65,3.03,233.0,96171.0
20200801:1800,28.91,76.7,0.0,0.0,0.0,435.25,2.9,234.0,96190.0
20200801:1900,28.0,78.6,0.0,0.0,0.0,431.05,2.55,216.0,96171.0
20200801:2000,27.65,80.25,0.0,0.0,0.0,427.05,2.62,217.0,96161.0
20200801:2100,27.4,81.8,0.0,0.0,0.0,426.05,2.76,221.0,96142.0
20200801:2200,27.18,83.3,0.0,0.0,0.0,423.25,2.62,225.0,96094.0
20200801:2300,27.02,84.45,0.0,0.0,0.0,423.05,2.34,224.0,96123.0
20200802:0000,26.94,85.2,0.0,0.0,0.0,425.65,2.14,222.0,96171.0
20200802:0100,26.87,85.95,85.1,187.19,67.3,421.45,2.21,222.0,96171.0
20200802:0200,27.76,81.85,242.0,345.37,132.7,424.05,2.83,226.0,96209.0
20200802:0300,29.19,74.7,409.75,418.22,189.95,428.85,3.72,234.0,96219.0
20200802:0400,30.69,67.7,573.9,459.4,248.6,433.85,4.28,242.0,96238.0
20200802:0500,31.98,62.3,694.1,456.7,305.15,440.25,4.14,250.0,96228.0
20200802:0600,33.05,57.55,864.3,679.98,220.75,448.85,3.66,254.0,96161.0
20200802:0700,34.71,53.05,856.4,651.13,214.4,453.65,3.66,239.0,96142.0
20200802:0800,35.32,51.15,779.85,595.12,204.0,459.85,3.38,242.0,96046.0
20200802:0900,35.76,49.95,605.8,459.63,195.55,466.25,3.38,244.0,95950.0
20200802:1000,35.8,49.6,494.55,419.53,173.2,462.65,3.66,241.0,95816.0
20200802:1100,35.38,50.5,272.45,227.01,137.05,464.05,3.93,239.0,95739.0
20200802:1200,34.14,53.65,126.7,119.58,79.4,468.45,4.41,232.0,95730.0
20200802:1300,33.18,56.85,25.3,25.71,20.75,453.65,4.21,233.0,95720.0
20200802:1400,32.16,60.25,0.0,0.0,0.0,450.45,4.14,235.0,95730.0
20200802:1500,31.17,64.55,0.0,0.0,0.0,440.05,4.0,234.0,95730.0
20200802:1600,30.38,69.0,0.0,0.0,0.0,438.65,4.07,232.0,95825.0
20200802:1700,29.64,73.35,0.0,0.0,0.0,436.05,4.14,229.0,95835.0
20200802:1800,29.02,76.45,0.0,0.0,0.0,432.85,4.21,227.0,95835.0
20200802:1900,29.42,72.25,0.0,0.0,0.0,431.65,4.83,229.0,95845.0
20200802:2000,29.06,73.0,0.0,0.0,0.0,431.45,4.69,230.0,95806.0
20200802:2100,28.63,74.15,0.0,0.0,0.0,425.05,4.34,231.0,95797.0
20200802:2200,28.27,75.0,0.0,0.0,0.0,422.85,3.93,231.0,95739.0
20200802:2300,28.03,75.25,0.0,0.0,0.0,423.85,3.72,232.0,95749.0
20200803:0000,27.85,74.85,0.0,0.0,0.0,423.25,3.79,235.0,95806.0
20200803:0100,27.89,73.6,87.1,354.52,54.0,427.85,4.0,236.0,95845.0
20200803:0200,28.44,70.9,275.35,519.74,111.6,423.25,4.14,235.0,95912.0
20200803:0300,29.75,65.65,469.7,617.25,146.0,426.65,5.17,238.0,95931.0
20200803:0400,31.29,61.1,661.65,691.34,172.75,431.25,5.31,241.0,95902.0
20200803:0500,32.99,56.0,802.6,722.85,187.55,438.05,5.17,243.0,95845.0
20200803:0600,34.46,51.25,693.45,462.51,256.05,444.85,4.9,241.0,95806.0
20200803:0700,34.74,51.45,773.55,532.71,248.7,457.05,4.34,240.0,95730.0
20200803:0800,35.62,49.25,732.8,541.02,209.75,464.25,4.28,237.0,95643.0
20200803:0900,36.01,48.4,668.95,517.3,207.75,466.05,4.34,231.0,95547.0
20200803:1000,36.15,47.9,494.4,423.5,170.55,466.65,4.48,227.0,95595.0
20200803:1100,34.76,52.25,306.75,299.81,128.4,464.65,4.21,225.0,95461.0
20200803:1200,34.54,51.4,133.65,146.96,75.8,461.05,4.48,225.0,95394.0
20200803:1300,33.81,53.35,17.35,20.6,13.75,457.05,4.0,224.0,95355.0
20200803:1400,32.79,56.5,0.0,0.0,0.0,453.85,3.79,220.0,95394.0
20200803:1500,31.97,59.25,0.0,0.0,0.0,445.65,4.21,221.0,95423.0
20200803:1600,31.48,60.9,0.0,0.0,0.0,445.65,4.41,226.0,95490.0
20200803:1700,30.95,62.45,0.0,0.0,0.0,438.45,4.0,229.0,95509.0
20200803:1800,30.41,64.1,0.0,0.0,0.0,431.05,3.66,227.0,95499.0
20200803:1900,29.88,66.0,0.0,0.0,0.0,429.25,3.1,221.0,95528.0
20200803:2000,29.33,67.75,0.0,0.0,0.0,424.25,2.83,216.0,95480.0
20200803:2100,28.82,69.65,0.0,0.0,0.0,420.45,2.76,211.0,95490.0
20200803:2200,28.47,70.85,0.0,0.0,0.0,421.45,2.97,210.0,95461.0
20200803:2300,28.16,71.45,0.0,0.0,0.0,418.65,3.52,216.0,95480.0
20200804:0000,27.89,72.25,0.0,0.0,0.0,419.05,4.07,221.0,95451.0
20200804:0100,27.65,74.05,100.0,415.19,61.95,416.65,4.0,224.0,95499.0
20200804:0200,28.28,72.9,282.15,540.41,112.65,419.25,4.14,227.0,95566.0
20200804:0300,29.53,69.1,481.05,633.69,149.45,421.25,4.83,236.0,95566.0
20200804:0400,31.06,64.55,635.65,630.37,190.45,428.85,4.76,242.0,95566.0
20200804:0500,32.65,58.55,774.6,661.76,212.05,438.65,4.34,245.0,95557.0
20200804:0600,34.14,52.45,733.1,500.8,259.85,445.05,3.66,243.0,95538.0
20200804:0700,34.84,51.6,874.85,676.09,209.25,461.05,3.03,237.0,95499.0
20200804:0800,35.68,49.45,808.7,637.7,192.75,458.85,2.69,231.0,95413.0
20200804:0900,36.09,48.15,678.6,562.73,177.5,462.85,2.55,224.0,95336.0
20200804:1000,36.24,47.4,553.7,517.38,158.75,463.65,2.48,219.0,95250.0
20200804:1100,36.19,46.9,336.85,338.06,136.3,462.05,2.41,223.0,95125.0
20200804:1200,34.91,50.0,134.65,160.46,71.8,461.25,2.69,221.0,95116.0
20200804:1300,34.28,51.2,24.45,28.13,19.6,457.45,2.76,214.0,95106.0
20200804:1400,33.07,55.1,0.0,0.0,0.0,449.25,2.76,205.0,95183.0
20200804:1500,32.11,58.45,0.0,0.0,0.0,444.65,2.83,207.0,95259.0
20200804:1600,31.46,60.85,0.0,0.0,0.0,443.05,2.9,212.0,95346.0
20200804:1700,31.04,62.3,0.0,0.0,0.0,443.85,2.9,217.0,95365.0
20200804:1800,30.63,63.55,0.0,0.0,0.0,441.25,2.76,227.0,95384.0
20200804:1900,30.46,62.05,0.0,0.0,0.0,436.65,2.62,240.0,95384.0
20200804:2000,30.02,63.55,0.0,0.0,0.0,433.65,2.48,244.0,95365.0
20200804:2100,29.8,64.4,0.0,0.0,0.0,438.85,2.21,247.0,95336.0
20200804:2200,29.29,66.45,0.0,0.0,0.0,430.85,1.93,264.0,95346.0
20200804:2300,29.09,67.55,0.0,0.0,0.0,439.65,1.72,266.0,95298.0
20200805:0000,28.75,69.0,0.0,0.0,0.0,431.65,1.86,247.0,95307.0
20200805:0100,28.67,70.15,93.55,407.55,56.9,433.85,1.72,241.0,95346.0
20200805:0200,29.73,66.8,255.45,478.95,105.9,435.25,1.52,245.0,95423.0
20200805:0300,31.34,60.35,436.95,543.44,153.2,437.05,1.86,263.0,95432.0
20200805:0400,33.11,53.15,568.5,558.26,174.75,443.05,2.07,288.0,95470.0
20200805:0500,34.6,47.85,685.5,551.11,217.45,451.45,2.07,314.0,95442.0
20200805:0600,35.99,43.55,736.5,519.79,245.7,461.05,2.21,357.0,95432.0
20200805:0700,36.87,41.0,751.75,560.8,200.1,466.85,3.86,29.0,95365.0
20200805:0800,37.21,40.0,586.05,406.08,194.2,469.05,3.93,34.0,95336.0
20200805:0900,37.29,39.25,625.95,507.34,174.75,467.85,3.52,25.0,95231.0
20200805:1000,37.85,37.4,507.15,469.57,149.35,464.05,3.45,22.0,95307.0
20200805:1100,38.06,36.35,353.55,391.27,122.1,466.65,3.52,23.0,95154.0
20200805:1200,38.02,35.95,147.65,176.7,78.8,466.85,3.52,38.0,95183.0
20200805:1300,35.78,42.15,22.0,27.34,17.35,462.85,4.62,68.0,95192.0
20200805:1400,33.45,52.05,0.0,0.0,0.0,466.05,4.21,84.0,95231.0
20200805:1500,32.16,59.2,0.0,0.0,0.0,458.45,3.24,94.0,95307.0
20200805:1600,31.44,63.85,0.0,0.0,0.0,452.85,3.03,100.0,95403.0
20200805:1700,30.9,67.35,0.0,0.0,0.0,448.85,3.24,103.0,95451.0
20200805:1800,30.36,70.3,0.0,0.0,0.0,447.25,3.31,106.0,95470.0
20200805:1900,29.62,71.3,0.0,0.0,0.0,439.25,3.03,97.0,95470.0
20200805:2000,29.11,74.15,0.0,0.0,0.0,433.65,2.83,96.0,95442.0
20200805:2100,28.95,75.25,0.0,0.0,0.0,440.05,2.69,93.0,95423.0
20200805:2200,28.87,75.95,0.0,0.0,0.0,446.85,2.48,94.0,95470.0
20200805:2300,28.65,76.9,0.0,0.0,0.0,446.25,2.62,94.0,95461.0
20200806:0000,28.41,77.35,0.0,0.0,0.0,439.05,2.55,84.0,95499.0
20200806:0100,28.26,77.2,75.7,282.27,50.8,433.05,2.83,76.0,95547.0
20200806:0200,28.81,73.4,224.4,376.4,107.4,435.65,3.45,76.0,95605.0
20200806:0300,29.84,68.7,433.7,540.5,152.1,439.65,4.14,80.0,95624.0
20200806:0400,31.57,62.3,542.05,464.31,215.0,441.85,4.9,84.0,95624.0
20200806:0500,32.65,59.1,702.35,593.72,198.6,456.45,5.17,82.0,95624.0
20200806:0600,33.86,54.55,578.0,351.48,246.4,458.05,5.66,80.0,95595.0
20200806:0700,34.5,51.4,597.9,358.29,245.75,471.45,4.69,77.0,95499.0
20200806:0800,34.56,50.3,502.9,291.55,221.85,469.65,5.45,76.0,95470.0
20200806:0900,32.77,58.55,447.75,206.1,264.7,463.45,4.9,87.0,95432.0
20200806:1000,33.77,54.65,452.95,376.32,166.75,464.25,4.76,87.0,95192.0
20200806:1100,33.25,56.25,237.85,186.6,127.8,467.45,5.52,79.0,95240.0
20200806:1200,32.8,57.35,105.75,86.7,72.15,458.85,4.55,82.0,95250.0
20200806:1300,32.0,59.35,19.75,20.88,16.25,459.05,4.34,90.0,95269.0
20200806:1400,30.17,68.9,0.0,0.0,0.0,456.65,3.59,79.0,95365.0
20200806:1500,29.25,74.05,0.0,0.0,0.0,446.25,4.07,79.0,95461.0
20200806:1600,28.79,76.25,0.0,0.0,0.0,440.45,4.21,86.0,95499.0
20200806:1700,28.6,76.7,0.0,0.0,0.0,444.65,4.21,84.0,95528.0
20200806:1800,28.31,77.85,0.0,0.0,0.0,436.25,4.34,91.0,95566.0
20200806:1900,28.05,78.4,0.0,0.0,0.0,434.65,4.9,96.0,95576.0
20200806:2000,27.74,79.9,0.0,0.0,0.0,437.05,4.48,99.0,95566.0
20200806:2100,27.48,81.25,0.0,0.0,0.0,439.05,4.34,101.0,95557.0
20200806:2200,27.32,82.6,0.0,0.0,0.0,442.45,3.72,98.0,95576.0
20200806:2300,26.74,86.7,0.0,0.0,0.0,443.05,3.52,98.0,95586.0
20200807:0000,26.44,89.1,0.0,0.0,0.0,444.25,3.31,101.0,95605.0
20200807:0100,26.34,89.25,21.35,0.0,21.35,442.05,3.72,105.0,95701.0
20200807:0200,26.0,92.7,63.75,28.76,54.85,440.65,3.59,107.0,95777.0
20200807:0300,26.11,91.8,194.2,157.16,112.5,441.45,4.0,110.0,95835.0
20200807:0400,27.32,85.85,366.85,187.87,234.7,436.85,4.48,119.0,95873.0
20200807:0500,29.23,75.85,631.5,422.06,273.75,442.85,4.83,125.0,95893.0
20200807:0600,31.36,66.8,714.6,473.3,268.45,448.85,4.9,124.0,95883.0
20200807:0700,31.98,65.15,730.2,498.84,240.35,446.85,4.41,118.0,95787.0
20200807:0800,32.9,61.15,655.3,471.66,201.1,454.65,4.97,119.0,95710.0
20200807:0900,33.54,58.0,536.95,370.1,208.7,455.25,5.03,124.0,95662.0
20200807:1000,33.89,56.35,302.45,146.44,191.3,467.65,4.76,124.0,95672.0
20200807:1100,32.82,59.3,258.4,233.37,121.2,468.65,3.79,141.0,95643.0
20200807:1200,30.44,73.35,98.25,82.39,66.5,458.85,3.1,167.0,95710.0
20200807:1300,29.54,75.9,12.8,10.9,11.0,448.05,2.76,158.0,95768.0
20200807:1400,28.91,79.65,0.0,0.0,0.0,449.85,2.14,140.0,95835.0
20200807:1500,28.51,81.3,0.0,0.0,0.0,440.45,2.0,143.0,95893.0
20200807:1600,28.36,81.8,0.0,0.0,0.0,442.05,1.93,164.0,95989.0
20200807:1700,28.15,82.55,0.0,0.0,0.0,444.05,2.28,181.0,95998.0
20200807:1800,27.87,83.95,0.0,0.0,0.0,438.05,1.93,198.0,96036.0
20200807:1900,27.87,85.25,0.0,0.0,0.0,436.25,1.38,152.0,96008.0
20200807:2000,27.52,86.2,0.0,0.0,0.0,434.25,1.59,174.0,95998.0
20200807:2100,26.68,89.95,0.0,0.0,0.0,431.65,1.86,195.0,95960.0
20200807:2200,26.4,91.75,0.0,0.0,0.0,439.65,1.79,221.0,95998.0
20200807:2300,26.08,93.55,0.0,0.0,0.0,439.45,1.66,234.0,95979.0
20200808:0000,25.86,92.15,0.0,0.0,0.0,435.05,1.72,234.0,95998.0
20200808:0100,25.71,94.55,19.85,1.18,19.75,437.45,1.38,235.0,96017.0
20200808:0200,25.8,91.65,109.1,39.44,96.95,442.85,1.79,235.0,96036.0
20200808:0300,26.18,89.7,140.85,30.65,124.95,437.25,2.21,234.0,96084.0
20200808:0400,26.56,89.15,186.05,54.52,147.75,446.65,2.48,235.0,96113.0
20200808:0500,27.14,87.55,175.65,56.51,127.8,443.25,2.34,234.0,96094.0
20200808:0600,27.39,86.9,328.05,77.83,254.75,448.05,2.9,234.0,96094.0
20200808:0700,27.69,84.1,242.7,83.43,160.85,442.65,3.52,239.0,96075.0
20200808:0800,27.93,81.85,335.65,130.21,210.4,446.65,4.07,250.0,96008.0
20200808:0900,28.63,76.55,265.95,71.93,202.25,448.05,4.07,247.0,95941.0
20200808:1000,28.92,71.9,390.1,249.87,200.85,449.25,4.14,245.0,95912.0
20200808:1100,29.67,66.95,242.75,206.4,121.8,438.45,4.34,242.0,95816.0
20200808:1200,29.34,65.15,108.0,59.13,85.35,437.05,4.21,246.0,95816.0
20200808:1300,28.84,66.7,19.45,8.92,18.0,432.85,3.52,241.0,95825.0
20200808:1400,28.18,69.95,0.0,0.0,0.0,435.05,2.9,238.0,95854.0
20200808:1500,27.52,73.6,0.0,0.0,0.0,422.85,2.69,235.0,95902.0
20200808:1600,27.34,75.35,0.0,0.0,0.0,432.25,2.28,233.0,95950.0
20200808:1700,26.94,78.3,0.0,0.0,0.0,422.45,1.93,231.0,95979.0
20200808:1800,26.69,80.55,0.0,0.0,0.0,423.45,1.86,226.0,95960.0
20200808:1900,27.23,75.85,0.0,0.0,0.0,440.65,1.52,215.0,95960.0
20200808:2000,27.26,76.35,0.0,0.0,0.0,442.45,1.66,211.0,95902.0
20200808:2100,27.27,77.05,0.0,0.0,0.0,445.25,2.07,208.0,95883.0
20200808:2200,27.16,78.6,0.0,0.0,0.0,445.05,2.69,211.0,95883.0
20200808:2300,26.88,81.2,0.0,0.0,0.0,440.85,2.83,229.0,95854.0
20200809:0000,26.55,84.45,0.0,0.0,0.0,437.25,3.03,232.0,95864.0
20200809:0100,26.26,87.45,46.5,140.2,34.85,433.45,2.97,231.0,95864.0
20200809:0200,26.59,86.25,168.35,220.78,100.65,432.85,3.72,242.0,95931.0
20200809:0300,27.57,81.05,237.15,124.91,172.5,429.45,3.45,250.0,95979.0
20200809:0400,28.56,75.45,301.45,183.11,173.0,447.05,2.97,256.0,95989.0
20200809:0500,29.28,71.65,500.1,317.76,231.3,446.65,2.55,254.0,95989.0
20200809:0600,30.27,67.5,499.0,295.13,221.3,448.85,2.34,239.0,95969.0
20200809:0700,31.35,61.25,571.0,379.49,199.05,450.25,2.83,235.0,95912.0
20200809:0800,31.74,60.05,604.85,355.07,263.7,457.85,2.9,233.0,95845.0
20200809:0900,32.08,60.25,431.65,249.19,211.3,459.05,3.03,239.0,95777.0
20200809:1000,32.07,60.9,426.9,321.67,183.8,461.65,3.31,244.0,95739.0
20200809:1100,32.25,61.4,266.75,251.71,119.75,458.25,3.24,247.0,95614.0
20200809:1200,30.06,72.4,97.2,82.34,65.85,450.85,2.55,241.0,95634.0
20200809:1300,29.44,76.85,11.65,3.75,11.05,447.45,1.79,231.0,95710.0
20200809:1400,29.0,79.1,0.0,0.0,0.0,448.65,2.28,218.0,95730.0
20200809:1500,28.62,79.5,0.0,0.0,0.0,444.45,2.97,219.0,95806.0
20200809:1600,28.43,79.3,0.0,0.0,0.0,448.25,3.38,225.0,95912.0
20200809:1700,27.93,81.4,0.0,0.0,0.0,439.45,3.72,228.0,95950.0
20200809:1800,27.49,83.7,0.0,0.0,0.0,438.45,3.93,231.0,95950.0
20200809:1900,26.82,87.7,0.0,0.0,0.0,433.45,3.45,227.0,95950.0
20200809:2000,26.55,88.85,0.0,0.0,0.0,432.85,3.31,228.0,95931.0
20200809:2100,26.44,89.35,0.0,0.0,0.0,437.45,3.31,229.0,95893.0
20200809:2200,26.43,89.35,0.0,0.0,0.0,442.05,3.93,237.0,95854.0
20200809:2300,26.52,88.4,0.0,0.0,0.0,446.25,3.59,241.0,95883.0
20200810:0000,26.59,87.4,0.0,0.0,0.0,444.85,3.1,243.0,95921.0
20200810:0100,26.59,87.15,12.75,0.0,12.75,447.65,3.03,245.0,95941.0
20200810:0200,26.61,87.5,59.2,1.64,58.7,451.45,2.9,248.0,95998.0
20200810:0300,26.57,89.2,159.35,73.58,121.35,451.85,3.1,261.0,96036.0
20200810:0400,27.56,83.25,288.35,115.91,207.15,447.05,2.97,270.0,96046.0
20200810:0500,28.72,79.0,336.25,152.3,207.55,450.85,2.76,262.0,96027.0
20200810:0600,29.58,76.1,441.05,194.77,257.95,449.45,2.55,252.0,96008.0
20200810:0700,30.67,70.55,467.0,177.19,293.5,458.45,2.21,252.0,95979.0
20200810:0800,31.41,68.45,412.5,167.09,252.15,457.85,2.34,245.0,95912.0
20200810:0900,31.77,65.95,202.9,34.43,172.5,467.05,2.62,235.0,95873.0
20200810:1000,29.95,74.6,195.75,47.61,159.85,465.05,2.41,232.0,95787.0
20200810:1100,29.5,78.15,153.6,54.9,121.65,451.45,2.0,253.0,95797.0
20200810:1200,29.09,81.9,59.0,2.78,57.95,448.85,1.45,241.0,95825.0
20200810:1300,28.3,88.1,10.7,0.0,10.7,447.45,2.14,210.0,95873.0
20200810:1400,27.5,92.1,0.0,0.0,0.0,442.05,1.93,215.0,95921.0
