time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140105:0400,12.22,81.9,408.55,723.26,131.65,305.2,0.76,354.0,97571.0
20140105:0500,15.83,69.55,586.4,907.01,113.7,312.8,0.9,355.0,97619.0
20140105:0600,18.64,54.95,672.75,915.98,112.05,314.2,1.17,355.0,97523.0
20140105:0700,19.57,42.8,691.4,905.83,103.0,302.4,1.17,337.0,97408.0
20140105:0800,20.63,33.4,636.5,853.37,98.1,300.6,1.59,321.0,97312.0
20140105:0900,21.17,28.7,512.95,758.65,90.05,300.2,1.86,318.0,97245.0
20140105:1000,21.22,26.4,339.4,609.69,74.7,298.2,2.07,319.0,97159.0
20140105:1100,20.8,25.35,140.2,347.55,46.55,294.6,2.07,324.0,97140.0
20140105:1200,19.3,30.15,7.55,36.87,4.8,289.6,2.07,340.0,97149.0
20140105:1300,16.88,34.65,0.0,0.0,0.0,281.6,2.62,353.0,97188.0
20140105:1400,14.53,39.6,0.0,0.0,0.0,277.0,2.62,3.0,97245.0
20140105:1500,12.88,42.85,0.0,0.0,0.0,272.6,2.62,7.0,97293.0
20140105:1600,11.66,45.15,0.0,0.0,0.0,268.8,2.55,6.0,97341.0
20140105:1700,10.65,47.4,0.0,0.0,0.0,265.2,2.55,9.0,97380.0
20140105:1800,9.75,50.25,0.0,0.0,0.0,262.2,2.48,19.0,97370.0
20140105:1900,8.77,55.95,0.0,0.0,0.0,259.6,2.41,26.0,97380.0
20140105:2000,8.03,59.65,0.0,0.0,0.0,257.2,2.34,34.0,97380.0
20140105:2100,7.25,64.3,0.0,0.0,0.0,254.8,2.21,40.0,97389.0
20140105:2200,6.5,69.15,0.0,0.0,0.0,252.8,2.21,47.0,97360.0
20140105:2300,5.81,74.05,0.0,0.0,0.0,251.4,2.21,54.0,97380.0
20140106:0000,5.22,78.55,0.0,0.0,0.0,249.6,2.21,60.0,97408.0
20140106:0100,4.74,82.4,0.0,0.0,0.0,248.8,2.21,68.0,97475.0
