time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190722:0730,558.06,562.11,222.27,11.23,82.2,35.29,0.28,0.0
20190722:0830,509.76,508.89,195.91,10.19,70.84,36.22,0.69,0.0
20190722:0930,442.69,438.06,167.08,8.95,57.64,36.87,0.9,0.0
20190722:1030,337.46,311.07,150.07,7.11,44.26,37.15,0.83,0.0
20190722:1130,197.19,168.91,113.42,4.74,30.95,37.11,0.83,0.0
20190722:1230,56.62,34.5,68.21,2.0,17.83,36.88,1.59,0.0
20190722:1330,6.73,0.0,19.79,0.3,5.05,35.96,2.0,0.0
20190722:1430,0.0,0.0,0.0,0.0,0.0,34.93,1.79,0.0
20190722:1530,0.0,0.0,0.0,0.0,0.0,33.8,1.59,0.0
20190722:1630,0.0,0.0,0.0,0.0,0.0,32.73,1.93,0.0
20190722:1730,0.0,0.0,0.0,0.0,0.0,32.18,2.28,0.0
20190722:1830,0.0,0.0,0.0,0.0,0.0,31.56,2.41,0.0
20190722:1930,0.0,0.0,0.0,0.0,0.0,29.43,2.0,0.0
20190722:2030,0.0,0.0,0.0,0.0,0.0,29.11,1.72,0.0
20190722:2130,0.0,0.0,0.0,0.0,0.0,28.82,1.79,0.0
20190722:2230,0.0,0.0,0.0,0.0,0.0,28.55,2.07,0.0
20190722:2330,0.0,0.0,0.0,0.0,0.0,28.36,2.28,0.0
20190723:0030,0.88,0.0,8.11,0.12,0.29,28.11,2.07,0.0
20190723:0130,35.88,9.98,57.08,1.41,12.92,28.04,2.07,0.0
20190723:0230,155.05,113.13,108.62,3.87,25.94,28.76,2.62,0.0
20190723:0330,282.96,210.95,160.92,5.79,39.2,30.28,2.55,0.0
20190723:0430,438.11,363.85,209.41,8.52,52.57,31.65,2.55,0.0
20190723:0530,549.36,530.69,198.78,10.6,65.88,33.29,2.76,0.0
20190723:0630,572.32,560.84,209.21,11.04,78.41,34.68,2.55,0.0
20190723:0730,563.06,523.73,243.12,10.95,82.04,36.68,2.48,0.0
20190723:0830,503.89,426.13,254.82,9.79,70.76,36.92,2.62,0.0
20190723:0930,410.6,336.6,213.1,8.06,57.59,37.4,2.97,0.0
20190723:1030,337.73,285.36,169.7,6.97,44.21,37.61,2.83,0.0
20190723:1130,163.99,89.75,144.37,3.72,30.89,37.79,2.76,0.0
20190723:1230,64.15,19.3,88.13,1.84,17.76,37.25,2.62,0.0
20190723:1330,6.52,0.0,19.39,0.29,4.96,35.41,2.0,0.0
20190723:1430,0.0,0.0,0.0,0.0,0.0,34.79,1.03,0.0
20190723:1530,0.0,0.0,0.0,0.0,0.0,33.88,2.21,0.0
20190723:1630,0.0,0.0,0.0,0.0,0.0,33.31,3.38,0.0
20190723:1730,0.0,0.0,0.0,0.0,0.0,32.76,3.72,0.0
20190723:1830,0.0,0.0,0.0,0.0,0.0,32.27,3.86,0.0
20190723:1930,0.0,0.0,0.0,0.0,0.0,31.9,2.76,0.0
20190723:2030,0.0,0.0,0.0,0.0,0.0,31.05,2.07,0.0
20190723:2130,0.0,0.0,0.0,0.0,0.0,30.65,1.66,0.0
20190723:2230,0.0,0.0,0.0,0.0,0.0,30.48,1.38,0.0
20190723:2330,0.0,0.0,0.0,0.0,0.0,30.29,2.07,0.0
20190724:0030,0.68,0.0,7.67,0.12,0.18,30.33,2.48,0.0
20190724:0130,33.83,11.09,54.53,1.43,12.83,30.53,2.62,0.0
20190724:0230,142.18,111.39,96.43,3.64,25.86,31.68,3.52,0.0
20190724:0330,308.24,265.58,139.9,6.38,39.13,33.04,4.83,0.0
20190724:0430,396.98,300.44,216.33,7.64,52.5,33.85,4.83,0.0
20190724:0530,485.42,395.38,242.83,9.21,65.8,34.68,4.14,0.0
20190724:0630,544.57,481.94,239.07,10.3,78.28,36.11,4.76,0.0
20190724:0730,511.86,453.46,225.15,9.68,81.86,37.94,5.45,0.0
20190724:0830,470.58,397.0,224.9,8.93,70.68,37.36,5.1,0.0
20190724:0930,356.67,267.4,203.98,6.89,57.53,36.81,4.34,0.0
20190724:1030,277.33,195.69,176.78,5.63,44.15,36.5,3.03,0.0
20190724:1130,142.63,68.35,136.68,3.21,30.83,37.34,3.03,0.0
20190724:1230,55.7,17.24,77.39,1.62,17.69,34.88,2.97,0.0
20190724:1330,7.8,0.0,21.27,0.32,4.88,31.51,2.28,0.0
20190724:1430,0.0,0.0,0.0,0.0,0.0,31.07,3.38,0.0
20190724:1530,0.0,0.0,0.0,0.0,0.0,31.16,3.66,0.0
20190724:1630,0.0,0.0,0.0,0.0,0.0,31.42,3.31,0.0
20190724:1730,0.0,0.0,0.0,0.0,0.0,31.38,3.1,0.0
20190724:1830,0.0,0.0,0.0,0.0,0.0,30.99,3.45,0.0
20190724:1930,0.0,0.0,0.0,0.0,0.0,30.15,3.66,0.0
20190724:2030,0.0,0.0,0.0,0.0,0.0,29.16,4.0,0.0
20190724:2130,0.0,0.0,0.0,0.0,0.0,29.15,4.14,0.0
20190724:2230,0.0,0.0,0.0,0.0,0.0,29.78,4.9,0.0
20190724:2330,0.0,0.0,0.0,0.0,0.0,29.86,5.72,0.0
20190725:0030,0.51,0.0,7.22,0.11,0.08,29.45,6.14,0.0
20190725:0130,39.92,6.79,63.61,1.31,12.74,28.87,6.0,0.0
20190725:0230,145.75,78.98,126.37,3.42,25.78,28.79,6.21,0.0
20190725:0330,271.95,162.97,188.74,5.38,39.05,29.47,6.48,0.0
20190725:0430,410.08,264.18,256.94,7.65,52.43,30.46,7.24,0.0
20190725:0530,484.81,303.76,316.55,8.9,65.72,31.92,7.45,0.0
20190725:0630,333.6,176.7,253.92,6.14,78.15,33.44,7.38,0.0
20190725:0730,393.8,240.02,268.75,7.24,81.68,33.55,6.14,0.0
20190725:0830,323.91,167.28,255.77,6.06,70.6,34.92,6.28,0.0
20190725:0930,284.11,128.9,244.66,5.41,57.46,35.1,6.55,0.0
20190725:1030,197.06,66.86,198.68,3.9,44.09,34.76,6.41,0.0
20190725:1130,112.07,24.48,136.38,2.4,30.76,34.17,6.28,0.0
20190725:1230,61.55,7.89,90.55,1.53,17.61,33.94,6.07,0.0
20190725:1330,3.48,0.0,13.78,0.21,4.79,33.72,5.38,0.0
20190725:1430,0.0,0.0,0.0,0.0,0.0,32.97,4.48,0.0
20190725:1530,0.0,0.0,0.0,0.0,0.0,32.27,4.9,0.0
20190725:1630,0.0,0.0,0.0,0.0,0.0,31.41,5.17,0.0
20190725:1730,0.0,0.0,0.0,0.0,0.0,30.82,4.97,0.0
20190725:1830,0.0,0.0,0.0,0.0,0.0,29.35,4.69,0.0
20190725:1930,0.0,0.0,0.0,0.0,0.0,27.68,3.45,0.0
20190725:2030,0.0,0.0,0.0,0.0,0.0,28.03,3.59,0.0
20190725:2130,0.0,0.0,0.0,0.0,0.0,28.88,4.41,0.0
20190725:2230,0.0,0.0,0.0,0.0,0.0,29.03,5.1,0.0
20190725:2330,0.0,0.0,0.0,0.0,0.0,28.67,5.79,0.0
20190726:0030,0.0,0.0,0.0,0.0,-0.03,28.1,6.14,0.0
20190726:0130,29.47,4.29,50.46,0.97,12.64,27.6,6.0,0.0
20190726:0230,103.96,44.24,105.81,2.41,25.7,27.69,6.21,0.0
20190726:0330,229.3,125.82,171.97,4.52,38.98,28.33,6.07,0.0
20190726:0430,344.05,198.87,238.55,6.4,52.36,29.6,6.55,0.0
20190726:0530,300.61,130.71,256.7,5.56,65.63,31.27,6.21,0.0
20190726:0630,225.27,21.2,277.38,4.28,78.01,32.27,5.72,0.0
20190726:0730,146.74,10.04,191.37,2.89,81.5,32.17,4.83,0.0
20190726:0830,208.5,30.84,246.71,3.98,70.51,31.9,4.48,0.0
20190726:0930,214.75,67.59,216.82,4.11,57.39,31.94,4.34,0.0
20190726:1030,260.54,119.34,222.93,5.07,44.02,32.06,4.48,0.0
20190726:1130,161.17,82.69,140.84,3.52,30.68,32.67,5.17,0.0
20190726:1230,69.4,16.01,94.78,1.83,17.53,32.76,4.9,0.0
20190726:1330,7.67,0.0,21.13,0.32,4.69,32.62,4.07,0.0
20190726:1430,0.0,0.0,0.0,0.0,0.0,31.88,2.76,0.0
20190726:1530,0.0,0.0,0.0,0.0,0.0,31.09,2.48,0.0
20190726:1630,0.0,0.0,0.0,0.0,0.0,30.49,2.62,0.0
20190726:1730,0.0,0.0,0.0,0.0,0.0,29.81,3.03,0.0
20190726:1830,0.0,0.0,0.0,0.0,0.0,29.4,3.45,0.0
20190726:1930,0.0,0.0,0.0,0.0,0.0,29.58,2.83,0.0
20190726:2030,0.0,0.0,0.0,0.0,0.0,28.72,2.55,0.0
20190726:2130,0.0,0.0,0.0,0.0,0.0,28.47,3.17,0.0
20190726:2230,0.0,0.0,0.0,0.0,0.0,28.57,4.14,0.0
20190726:2330,0.0,0.0,0.0,0.0,0.0,28.35,4.62,0.0
20190727:0030,0.0,0.0,0.0,0.0,-0.13,27.92,4.97,0.0
20190727:0130,15.39,0.09,32.43,0.47,12.55,26.94,4.55,0.0
20190727:0230,41.91,0.97,67.22,0.98,25.62,26.48,4.48,0.0
20190727:0330,103.73,15.63,128.96,2.11,38.91,26.38,4.07,0.0
20190727:0430,180.81,59.31,177.93,3.44,52.29,27.16,4.0,0.0
20190727:0530,247.36,95.02,224.49,4.59,65.55,28.66,4.14,0.0
20190727:0630,103.87,3.16,144.32,2.12,77.86,30.66,4.14,0.0
20190727:0730,125.24,4.43,167.52,2.47,81.3,28.27,4.55,0.0
20190727:0830,79.93,0.37,116.2,1.67,70.41,28.31,4.07,0.0
20190727:0930,79.53,0.22,116.02,1.67,57.32,28.42,3.31,0.0
20190727:1030,74.33,0.17,109.95,1.58,43.95,29.05,2.9,0.0
20190727:1130,29.54,0.0,52.5,0.75,30.61,28.9,2.34,0.0
20190727:1230,16.08,0.0,33.67,0.48,17.44,28.3,2.07,0.0
20190727:1330,1.42,0.0,9.36,0.14,4.59,28.16,2.07,0.0
20190727:1430,0.0,0.0,0.0,0.0,0.0,27.68,1.79,0.0
20190727:1530,0.0,0.0,0.0,0.0,0.0,27.51,1.72,0.0
20190727:1630,0.0,0.0,0.0,0.0,0.0,26.92,2.55,0.0
20190727:1730,0.0,0.0,0.0,0.0,0.0,26.41,3.03,0.0
20190727:1830,0.0,0.0,0.0,0.0,0.0,26.02,2.69,0.0
20190727:1930,0.0,0.0,0.0,0.0,0.0,25.61,1.38,0.0
20190727:2030,0.0,0.0,0.0,0.0,0.0,25.44,1.93,0.0
20190727:2130,0.0,0.0,0.0,0.0,0.0,25.44,2.62,0.0
20190727:2230,0.0,0.0,0.0,0.0,0.0,25.31,3.03,0.0
20190727:2330,0.0,0.0,0.0,0.0,0.0,25.16,3.03,0.0
20190728:0030,0.0,0.0,0.0,0.0,-0.24,25.03,2.9,0.0
20190728:0130,2.36,0.0,11.24,0.16,12.46,25.0,2.76,0.0
20190728:0230,8.28,0.0,21.54,0.31,25.54,25.02,3.03,0.0
20190728:0330,9.25,0.0,23.08,0.33,38.83,25.11,3.59,0.0
20190728:0430,51.46,3.46,76.26,1.15,52.21,25.17,4.14,0.0
20190728:0530,130.01,26.16,148.76,2.51,65.46,25.48,4.07,0.0
20190728:0630,114.1,35.88,120.19,2.24,77.72,26.44,3.59,0.0
20190728:0730,194.0,101.05,149.49,3.58,81.1,26.25,3.52,0.0
20190728:0830,220.88,106.76,177.48,4.07,70.31,26.83,3.38,0.0
20190728:0930,177.11,87.9,144.85,3.37,57.24,28.02,3.52,0.0
20190728:1030,196.99,90.87,168.46,3.83,43.87,28.83,3.59,0.0
20190728:1130,102.75,40.43,107.05,2.26,30.53,29.74,3.17,0.0
20190728:1230,45.93,11.47,66.64,1.28,17.35,29.45,2.21,0.0
20190728:1330,3.13,0.0,12.84,0.19,4.49,27.84,1.1,0.0
20190728:1430,0.0,0.0,0.0,0.0,0.0,26.87,1.52,0.0
20190728:1530,0.0,0.0,0.0,0.0,0.0,26.54,1.86,0.0
20190728:1630,0.0,0.0,0.0,0.0,0.0,26.33,2.07,0.0
20190728:1730,0.0,0.0,0.0,0.0,0.0,26.31,2.28,0.0
20190728:1830,0.0,0.0,0.0,0.0,0.0,26.15,2.21,0.0
20190728:1930,0.0,0.0,0.0,0.0,0.0,25.69,3.1,0.0
20190728:2030,0.0,0.0,0.0,0.0,0.0,25.38,2.76,0.0
20190728:2130,0.0,0.0,0.0,0.0,0.0,25.26,2.97,0.0
20190728:2230,0.0,0.0,0.0,0.0,0.0,25.32,3.24,0.0
20190728:2330,0.0,0.0,0.0,0.0,0.0,25.42,3.38,0.0
20190729:0030,0.0,0.0,0.0,0.0,-0.35,25.53,3.38,0.0
20190729:0130,24.43,1.04,44.56,0.7,12.37,25.75,3.52,0.0
20190729:0230,93.56,61.01,77.34,2.3,25.46,26.27,4.9,0.0
20190729:0330,143.3,47.84,144.65,2.85,38.76,27.21,6.0,0.0
20190729:0430,261.69,143.85,189.79,4.86,52.14,27.93,5.79,0.0
20190729:0530,319.43,144.98,261.5,5.81,65.37,28.98,6.0,0.0
20190729:0630,339.98,185.99,246.87,6.15,77.57,29.98,5.93,0.0
20190729:0730,384.96,229.03,262.68,6.97,80.9,30.22,4.9,0.0
