time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190729:0830,440.49,317.66,247.03,8.04,70.2,31.22,4.97,0.0
20190729:0930,405.49,345.03,175.65,7.57,57.15,32.15,4.97,0.0
20190729:1030,299.72,222.9,168.17,5.87,43.79,32.75,4.83,0.0
20190729:1130,172.96,115.37,124.53,3.84,30.44,32.86,4.69,0.0
20190729:1230,45.63,21.69,60.3,1.47,17.26,32.56,4.14,0.0
20190729:1330,5.1,0.0,16.67,0.25,4.38,31.75,2.76,0.0
20190729:1430,0.0,0.0,0.0,0.0,0.0,30.95,2.34,0.0
20190729:1530,0.0,0.0,0.0,0.0,0.0,30.11,2.14,0.0
20190729:1630,0.0,0.0,0.0,0.0,0.0,29.5,2.41,0.0
20190729:1730,0.0,0.0,0.0,0.0,0.0,29.19,2.48,0.0
20190729:1830,0.0,0.0,0.0,0.0,0.0,28.74,2.9,0.0
20190729:1930,0.0,0.0,0.0,0.0,0.0,28.53,2.76,0.0
20190729:2030,0.0,0.0,0.0,0.0,0.0,28.17,2.83,0.0
20190729:2130,0.0,0.0,0.0,0.0,0.0,27.93,2.9,0.0
20190729:2230,0.0,0.0,0.0,0.0,0.0,27.67,2.62,0.0
20190729:2330,0.0,0.0,0.0,0.0,0.0,27.44,2.14,0.0
20190730:0030,0.0,0.0,0.0,0.0,-0.46,27.11,1.86,0.0
20190730:0130,27.03,8.23,45.67,1.09,12.28,27.0,1.93,0.0
20190730:0230,140.14,92.03,107.91,3.35,25.38,27.72,2.55,0.0
20190730:0330,288.66,226.64,148.69,5.78,38.68,28.8,2.97,0.0
20190730:0430,391.63,302.99,200.8,7.37,52.06,29.92,3.24,0.0
20190730:0530,442.5,384.86,184.05,8.15,65.28,30.54,3.38,0.0
20190730:0630,425.85,360.25,189.39,7.79,77.41,31.1,3.03,0.0
20190730:0730,512.16,447.14,222.78,9.46,80.68,32.29,3.24,0.0
20190730:0830,502.59,467.16,193.27,9.41,70.08,32.8,2.83,0.0
20190730:0930,387.41,333.75,173.97,7.37,57.06,32.92,2.28,0.0
20190730:1030,279.11,217.03,154.11,5.57,43.7,33.0,1.52,0.0
20190730:1130,183.83,145.34,112.71,4.19,30.35,33.08,1.03,0.0
20190730:1230,59.0,30.48,72.38,1.89,17.16,33.02,0.62,0.0
20190730:1330,4.29,0.0,15.2,0.23,4.26,31.51,1.31,0.0
20190730:1430,0.0,0.0,0.0,0.0,0.0,30.55,1.59,0.0
20190730:1530,0.0,0.0,0.0,0.0,0.0,29.77,2.0,0.0
20190730:1630,0.0,0.0,0.0,0.0,0.0,29.17,1.93,0.0
20190730:1730,0.0,0.0,0.0,0.0,0.0,28.75,1.79,0.0
20190730:1830,0.0,0.0,0.0,0.0,0.0,28.37,2.21,0.0
20190730:1930,0.0,0.0,0.0,0.0,0.0,29.21,2.62,0.0
20190730:2030,0.0,0.0,0.0,0.0,0.0,28.8,3.31,0.0
20190730:2130,0.0,0.0,0.0,0.0,0.0,28.19,3.52,0.0
20190730:2230,0.0,0.0,0.0,0.0,0.0,27.76,3.24,0.0
20190730:2330,0.0,0.0,0.0,0.0,0.0,27.37,2.76,0.0
20190731:0030,0.0,0.0,0.0,0.0,-0.56,27.09,2.62,0.0
20190731:0130,31.77,8.33,51.91,1.19,12.19,26.87,2.34,0.0
20190731:0230,127.71,81.57,101.61,3.04,25.3,27.35,2.83,0.0
20190731:0330,233.1,156.46,147.99,4.62,38.61,28.3,3.24,0.0
20190731:0430,382.95,306.48,184.55,7.18,51.99,29.32,3.1,0.0
20190731:0530,391.32,275.46,232.17,7.24,65.19,30.52,2.34,0.0
20190731:0630,412.35,256.24,286.25,7.67,77.25,31.11,1.59,0.0
20190731:0730,495.23,401.2,257.18,9.27,80.46,32.02,1.66,0.0
20190731:0830,464.05,342.05,273.51,8.72,69.96,32.82,2.0,0.0
20190731:0930,375.04,240.74,252.06,7.09,56.96,32.25,2.14,0.0
20190731:1030,252.67,134.07,201.49,4.95,43.61,32.15,2.0,0.0
20190731:1130,134.73,59.98,130.79,2.93,30.25,32.48,1.79,0.0
20190731:1230,39.52,6.66,62.1,1.07,17.05,31.69,1.79,0.0
20190731:1330,4.61,0.0,15.74,0.24,4.15,30.75,2.14,0.0
